Дата;Ветвь;Задача;Суммарное время;Собственное время
1 марта 2018 г.;/;Jobtime1;9:31:47;9:31:47
1 марта 2018 г.;/;SL:;8:03:28;8:03:28
1 марта 2018 г.;/;Pers.Time;4:19:49;0:00:00
1 марта 2018 г.;/Pers.Time/;Guests;3:59:10;0:57:58
1 марта 2018 г.;/Pers.Time/Guests/;Food;3:01:08;3:01:08
1 марта 2018 г.;/Pers.Time/Guests/;Family;0:00:03;0:00:00
1 марта 2018 г.;/Pers.Time/Guests/Family/;Food;0:00:03;0:00:03
1 марта 2018 г.;/Pers.Time/;Trip;0:20:39;0:00:00
1 марта 2018 г.;/Pers.Time/Trip/;Hotel;0:20:39;0:20:39
1 марта 2018 г.;/;TravelCity;2:04:27;0:00:00
1 марта 2018 г.;/TravelCity/;Metro;1:12:11;1:12:11
1 марта 2018 г.;/TravelCity/;Foot;0:52:16;0:52:16
1 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
2 марта 2018 г.;/;Pers.Time;12:15:25;0:00:00
2 марта 2018 г.;/Pers.Time/;Trip;10:49:06;0:00:00
2 марта 2018 г.;/Pers.Time/Trip/; Plane;8:51:39;3:27:24
2 марта 2018 г.;/Pers.Time/Trip/ Plane/;Flight;5:24:15;5:24:15
2 марта 2018 г.;/Pers.Time/Trip/;Car;1:57:24;1:57:24
2 марта 2018 г.;/Pers.Time/Trip/;Hotel;0:00:01;0:00:01
2 марта 2018 г.;/Pers.Time/;Guests;1:26:19;1:26:19
2 марта 2018 г.;/;SL:;7:47:18;7:47:18
2 марта 2018 г.;/;Jobtime1;3:56:55;3:56:55
2 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
3 марта 2018 г.;/;Pers.Time;17:02:36;0:00:00
3 марта 2018 г.;/Pers.Time/;Food1;5:54:41;0:00:00
3 марта 2018 г.;/Pers.Time/Food1/;Family;5:21:20;0:00:00
3 марта 2018 г.;/Pers.Time/Food1/Family/;Children;5:21:20;5:21:20
3 марта 2018 г.;/Pers.Time/Food1/;Children;0:33:20;0:33:20
3 марта 2018 г.;/Pers.Time/;SelfImprovement;3:24:53;0:00:00
3 марта 2018 г.;/Pers.Time/SelfImprovement/;Job;2:17:15;2:17:15
3 марта 2018 г.;/Pers.Time/SelfImprovement/;English;1:07:38;1:07:38
3 марта 2018 г.;/Pers.Time/;Domesticity;2:09:40;2:09:40
3 марта 2018 г.;/Pers.Time/;Family;1:53:11;0:00:00
3 марта 2018 г.;/Pers.Time/Family/;Children;1:53:11;0:00:00
3 марта 2018 г.;/Pers.Time/Family/Children/;Movie;1:53:11;1:53:11
3 марта 2018 г.;/Pers.Time/;Leisure;1:26:11;0:00:00
3 марта 2018 г.;/Pers.Time/Leisure/;CG;0:56:35;0:56:35
3 марта 2018 г.;/Pers.Time/Leisure/;Inet;0:29:35;0:29:35
3 марта 2018 г.;/Pers.Time/;Trip;1:11:37;0:00:00
3 марта 2018 г.;/Pers.Time/Trip/; Plane;1:11:37;1:11:37
3 марта 2018 г.;/Pers.Time/;WL;1:02:20;0:00:00
3 марта 2018 г.;/Pers.Time/WL/;Children;1:02:20;1:02:20
3 марта 2018 г.;/;SL:;6:56:49;6:56:49
3 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
4 марта 2018 г.;/;Pers.Time;14:05:42;0:00:00
4 марта 2018 г.;/Pers.Time/;Domesticity;7:20:56;7:20:56
4 марта 2018 г.;/Pers.Time/;Leisure;5:55:36;0:00:00
4 марта 2018 г.;/Pers.Time/Leisure/;CG;5:55:36;5:55:36
4 марта 2018 г.;/Pers.Time/;Food1;0:49:09;0:00:00
4 марта 2018 г.;/Pers.Time/Food1/;Family;0:49:09;0:00:00
4 марта 2018 г.;/Pers.Time/Food1/Family/;Children;0:49:09;0:49:09
4 марта 2018 г.;/;SL:;9:54:10;9:54:10
4 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
5 марта 2018 г.;/;Pers.Time;13:08:08;0:00:00
5 марта 2018 г.;/Pers.Time/;Leisure;7:06:59;0:00:00
5 марта 2018 г.;/Pers.Time/Leisure/;CG;5:46:49;5:46:49
5 марта 2018 г.;/Pers.Time/Leisure/;Hobby;1:20:09;0:00:00
5 марта 2018 г.;/Pers.Time/Leisure/Hobby/;Family;1:20:09;0:00:00
5 марта 2018 г.;/Pers.Time/Leisure/Hobby/Family/;Children;1:20:09;1:20:09
5 марта 2018 г.;/Pers.Time/;Domesticity;2:49:26;2:49:26
5 марта 2018 г.;/Pers.Time/;Family;2:42:51;0:00:00
5 марта 2018 г.;/Pers.Time/Family/;Children;2:42:48;0:00:00
5 марта 2018 г.;/Pers.Time/Family/Children/;Movie;2:42:48;2:42:48
5 марта 2018 г.;/Pers.Time/Family/;Movie;0:00:03;0:00:03
5 марта 2018 г.;/Pers.Time/;Food1;0:28:51;0:00:00
5 марта 2018 г.;/Pers.Time/Food1/;Family;0:28:51;0:00:00
5 марта 2018 г.;/Pers.Time/Food1/Family/;Children;0:28:51;0:28:51
5 марта 2018 г.;/;SL:;8:51:38;8:51:38
5 марта 2018 г.;/;TravelCity;2:00:00;0:00:00
5 марта 2018 г.;/TravelCity/;Bus/Tram;1:16:40;1:16:40
5 марта 2018 г.;/TravelCity/;Metro;0:26:01;0:26:01
5 марта 2018 г.;/TravelCity/;Shopping;0:11:33;0:11:33
5 марта 2018 г.;/TravelCity/;Foot;0:05:33;0:05:33
5 марта 2018 г.;/TravelCity/;Organizations;0:00:11;0:00:11
5 марта 2018 г.;;Все задачи (Итого);0:00:00;0:00:00
6 марта 2018 г.;/;Jobtime1;8:10:00;8:10:00
6 марта 2018 г.;/;SL:;7:30:50;7:30:50
6 марта 2018 г.;/;Pers.Time;6:41:29;0:00:00
6 марта 2018 г.;/Pers.Time/;Leisure;4:28:23;0:00:00
6 марта 2018 г.;/Pers.Time/Leisure/;CG;4:28:23;4:28:23
6 марта 2018 г.;/Pers.Time/;WL;1:01:09;0:00:00
6 марта 2018 г.;/Pers.Time/WL/;Family;1:01:09;1:01:09
6 марта 2018 г.;/Pers.Time/;Domesticity;0:56:47;0:56:47
6 марта 2018 г.;/Pers.Time/;Food1;0:15:09;0:15:09
6 марта 2018 г.;/;TravelCity;1:35:09;0:00:00
6 марта 2018 г.;/TravelCity/;Foot;0:53:11;0:53:11
6 марта 2018 г.;/TravelCity/;Metro;0:41:58;0:41:58
